City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,mount gambier,-37.8333,140.7667,19.76,44,0,6.56,AU,1734405184
241,kihangara,-2.5833,33.35,19.69,83,90,3.39,TZ,1734405186
242,fort mcmurray,56.7268,-111.381,-22.27,77,100,4.63,CA,1734405187
243,caleta de carquin,-11.0925,-77.6267,19.69,88,100,3.67,PE,1734405188
244,garachico,28.7781,-17.7646,24.06,17,75,5.66,ES,1734405189
245,santiago de cao,-7.9589,-79.2392,17.07,94,75,4.63,PE,1734405190
246,tsiombe,-25.3,45.4833,25.78,73,26,2.61,MG,1734405192
247,altamont,42.2068,-121.7372,2.91,87,100,4.63,US,1734405193
248,vallenar,-28.5708,-70.7581,20.88,49,0,0.83,CL,1734405194
249,mendi,-6.1761,143.6513,19.04,83,97,1.41,PG,1734405195
250,atafu village,-8.5421,-172.5159,27.68,77,100,8.05,TK,1734405196
251,borba,-4.3878,-59.5939,23.68,96,100,1.29,BR,1734405198
252,kassala,15.451,36.4,21.72,71,56,3.55,SD,1734405199
253,port lincoln,-34.7333,135.8667,20.14,53,0,7.27,AU,1734405200
254,hammerfest,70.6634,23.6821,-9.75,67,100,2.57,NO,1734405201
255,taiobeiras,-15.8078,-42.2331,18.95,95,100,0.81,BR,1734405141
256,dayton,39.7589,-84.1916,14.43,86,75,7.72,US,1734405203
257,moldava nad bodvou,48.6143,20.9996,1.09,93,20,2.06,SK,1734405205
258,fort irwin,35.2627,-116.6848,6.74,21,0,0.0,US,1734405206
259,nuuk,64.1835,-51.7216,-4.66,74,100,7.2,GL,1734405207
260,humaita,-7.5061,-63.0208,21.82,99,100,1.05,BR,1734405208
261,wadebridge,50.5173,-4.8363,10.65,100,75,4.63,GB,1734405209
262,labrador city,52.9463,-66.9114,-5.46,79,100,6.71,CA,1734405210
263,la'ie,21.6477,-157.9253,26.66,72,71,0.89,US,1734405212
264,bay roberts,47.5999,-53.2648,1.62,85,12,1.34,CA,1734405213
265,margate,51.3813,1.3862,7.05,91,0,4.71,GB,1734405214
266,lihue,21.9789,-159.3672,25.77,73,75,3.6,US,1734405153
267,chetwayi,10.5333,76.05,24.92,68,100,4.79,IN,1734405216
268,kristiansund,63.1115,7.732,3.96,87,75,10.29,NO,1734405217
269,illizi,26.4833,8.4667,12.16,49,100,5.64,DZ,1734405219
270,paka,4.6374,103.4368,27.77,74,100,3.05,MY,1734405220
271,siwa oasis,29.2041,25.5195,13.07,82,25,3.2,EG,1734405221
272,keflavik,64.0049,-22.5624,1.24,93,75,10.8,IS,1734405222
273,puducherry,11.9333,79.8167,23.46,76,100,6.58,IN,1734405223
274,bodaybo,57.8506,114.1933,-24.22,97,97,0.55,RU,1734405224
275,red bluff,40.1785,-122.2358,9.07,93,100,4.63,US,1734405225
276,sitka,57.0531,-135.33,0.02,83,100,3.04,US,1734405227
277,guerrero negro,27.9769,-114.0611,15.37,81,57,4.72,MX,1734405046
278,katabu,-4.9333,122.5167,29.08,75,100,1.41,ID,1734405229
279,bereket,39.2446,55.5154,4.6,45,100,4.7,TM,1734405231
280,hluti,-27.2167,31.6167,20.42,93,87,1.41,SZ,1734405232
281,hawaiian paradise park,19.5933,-154.9731,23.74,96,100,2.06,US,1734405233
282,hot springs village,34.6655,-93.01,15.61,88,100,3.33,US,1734405234
283,la palma,33.8464,-118.0467,15.46,64,0,0.0,US,1734405235
284,crucecita,-28.95,-58.9833,18.32,69,0,2.89,AR,1734405236
285,faya-largeau,17.9257,19.1043,16.22,24,77,9.09,TD,1734405238
286,galeana,24.8333,-100.0667,11.09,87,67,1.16,MX,1734405239
287,kakamega,0.2842,34.7523,14.97,81,59,3.48,KE,1734405240
288,cotabato,7.2236,124.2464,29.7,61,100,3.23,PH,1734405145
